"breedgroup","breedname","licensecount","avgweight","lifeexpectancy"
"Working","Boxer","682","65","11"
"Working","Bullmastiff","57","115","8"
"Working","Cane Corso","160","99","10.5"
"Working","Chinook","3","70","13.5"
"Working","Doberman Pinscher","163","80","11"
"Working","Fila Brasileiro","2","160","10"
"Working","French Mastiff (Dogue de Bordeaux)","20","104.5","6.5"
"Working","German Pinscher","5","35","13"
"Working","Giant Schnauzer","24","70","13.5"
"Working","Great Dane","77","142.5","8.5"
"Working","Great Pyrenees","49","92.5","11"
"Working","Greater Swiss Mountain Dog","6","112.5","9.5"
"Working","Kuvasz","4","92.5","11"
"Working","Leonberger","4","130","9"
"Working","Mastiff","36","175","8"
"Working","Neapolitan Mastiff","13","130","8"
"Working","Newfoundland","41","125","9.5"
"Working","Old English Mastiff","18","170","9"
"Working","Portuguese Water Dog","102","47.5","12"
"Working","Rottweiler","392","107.5","9.5"
"Working","Samoyed","59","50","13"
"Working","Siberian Husky","750","47.5","13"
"Working","St. Bernard","24","150","9"
"Working","Standard Schnauzer","118","40","14.5"
"Working","Tibetan Mastiff","6","110","11"
