rownumber,animalgender,breedname,borough,zipcode
63313,M,American Pit Bull Mix / Pit Bull Mix,Bronx,10457
63314,M,Shih Tzu,Manhattan,10001
63315,M,Bichon Frise,Manhattan,10036
63316,M,Rat Terrier,Queens,11374
63317,F,Labrador Retriever,Manhattan,10128
63318,F,American Staffordshire Terrier ,Queens,11378
63319,M,Shih Tzu,Queens,11417
63320,M,Not Listed,Manhattan,10003
63321,M,Not Listed,Staten Island,10314
63322,M,Pointer,Manhattan,10009
63323,F,Shetland Sheepdog,Staten Island,10309
63324,M,French Bulldog,Manhattan,10013
63325,F,Dachshund Crossbreed,Manhattan,10002
63326,M,Pomeranian,Queens,11436
63327,F,Not Listed,Brooklyn,11215
63328,F,Boston Terrier,Manhattan,10009
63329,M,Not Listed,Manhattan,10014
63330,F,French Bulldog,Brooklyn,11222
63331,F,German Shepherd Dog,Brooklyn,11218
63332,F,Yorkshire Terrier,Staten Island,10309
63333,M,Cavalier King Charles Spaniel,Manhattan,10028
63334,F,Not Listed,Manhattan,10024
63335,F,Beagle,Manhattan,10003
63336,F,Poodle,Manhattan,10025
63337,M,Shih Tzu,Manhattan,10011
63338,M,Italian Greyhound,Queens,11104
63339,F,Not Listed,Queens,11379
63340,F,Rhodesian Ridgeback,Manhattan,10007
63341,M,Jack Russell Terrier,Brooklyn,11214
63342,F,Chihuahua,Brooklyn,11234
63343,F,German Shepherd Crossbreed,Manhattan,10040
63344,M,Yorkshire Terrier,Queens,11368
63345,M,Long Haired Dachshund,Manhattan,10010
63346,F,Rottweiler,Queens,11364
63347,F,Boxer,Brooklyn,11234
63348,F,Not Listed,Manhattan,10034
63349,F,Shih Tzu,Queens,11379
63350,F,Yorkshire Terrier,Manhattan,10009
63351,M,Rhodesian Ridgeback,Brooklyn,11226
63352,M,Not Listed,Manhattan,10027
63353,F,Not Listed,Brooklyn,11231
63354,F,Shih Tzu,Staten Island,10306
63355,M,Shih Tzu,Manhattan,10010
63356,M,Boston Terrier,Manhattan,10029
63357,M,Labrador Retriever,Staten Island,10312
63358,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10010
63359,M,Poodle Crossbreed,Manhattan,10025
63360,M,Not Listed,Brooklyn,11236
63361,M,Australian Shepherd,Manhattan,10024
63362,F,Not Listed,Queens,11379
63363,M,Golden Retriever,Bronx,10471
63364,M,Shih Tzu Crossbreed,Manhattan,10009
63365,M,Not Listed,Brooklyn,11229
63366,F,Smooth Fox Terrier,Manhattan,10010
63367,F,American Staffordshire Terrier ,Bronx,10454
63368,M,Havanese,Manhattan,10075
63369,M,Chihuahua Crossbreed,Manhattan,10280
63370,M,Havanese,Manhattan,10128
63371,M,Not Listed,Staten Island,10306
63372,F,Not Listed,Brooklyn,11215
63373,M,Yorkshire Terrier,Queens,11372
63374,M,Not Listed,Staten Island,10301
63375,M,Labrador Retriever,Staten Island,10301
63376,M,Maltese,Manhattan,10022
63377,M,Maltese,Queens,11423
63378,F,Toy Poodle,Queens,11360
63379,M,Labrador Retriever,Staten Island,10302
63380,F,Chihuahua,Manhattan,10027
63381,M,Australian Cattle Dog,Bronx,10463
63382,M,Tibetan Terrier,Brooklyn,11211
63383,F,Yorkshire Terrier,Queens,11361
63384,F,Not Listed,Manhattan,10001
63385,F,Not Listed,Manhattan,10023
63386,M,Not Listed,Bronx,10468
63387,F,Poodle,Brooklyn,11206
63388,F,Labradoodle,Manhattan,10024
63389,M,Not Listed,Manhattan,10023
63390,F,Chihuahua,Brooklyn,11235
63391,F,German Shepherd Crossbreed,Manhattan,10035
63392,M,Chihuahua Crossbreed,Manhattan,10028
63393,M,Shih Tzu,Queens,11421
63394,F,Beagle,Brooklyn,11211
63395,M,Not Listed,Manhattan,10280
63396,F,Not Listed,Manhattan,10033
63397,M,Shih Tzu,Brooklyn,11218
63398,M,Beagle Crossbreed,Manhattan,10023
63399,F,Beagle,Manhattan,10280
63400,F,Labrador Retriever Crossbreed,Brooklyn,11221
63401,M,German Shepherd Dog,Manhattan,10002
63402,F,Maltese,Brooklyn,11238
63403,M,Siberian Husky,Queens,11377
63404,M,Pembroke Welsh Corgi,Manhattan,10014
63405,M,Shih Tzu,Bronx,10454
63406,F,Beagle,Manhattan,10075
63407,M,Yorkshire Terrier,Brooklyn,11228
63408,F,Boxer,Brooklyn,11216
63409,F,West Highland White Terrier,Staten Island,10305
63410,F,American Staffordshire Terrier ,Brooklyn,11220
63411,M,Maltese,Queens,11421
63412,M,Yorkshire Terrier,Staten Island,10305
63413,M,Not Listed,Manhattan,10029
63414,F,Chihuahua Crossbreed,Brooklyn,11218
63415,F,American Pit Bull Terrier/Pit Bull,Staten Island,10303
63416,M,Pomeranian,Staten Island,10306
63417,F,Yorkshire Terrier,Brooklyn,11220
63418,M,Labrador Retriever,Manhattan,10023
63419,F,Chihuahua,Queens,11418
63420,F,Toy Poodle,Manhattan,10075
63421,F,Shih Tzu,Queens,11369
63422,M,Puggle,Manhattan,10075
63423,M,American Bully,Bronx,10464
63424,M,Shih Tzu,Manhattan,10007
63425,F,German Shepherd Crossbreed,Brooklyn,11220
63426,M,Not Listed,Queens,11374
63427,F,Greyhound,Staten Island,10306
63428,M,Cairn Terrier,Brooklyn,11235
63429,F,Samoyed,Manhattan,10069
63430,F,Havanese,Manhattan,10003
63431,F,Jack Russell Terrier,Manhattan,10021
63432,M,Poodle,Queens,11364
63433,M,Boxer,Manhattan,10001
63434,F,Shiba Inu,Manhattan,10005
63435,M,Havanese,Manhattan,10019
63436,F,Chihuahua,Manhattan,10003
63437,F,American Pit Bull Mix / Pit Bull Mix,Manhattan,10065
63438,F,German Shepherd Dog,Manhattan,10280
63439,F,Not Listed,Queens,11104
63440,F,Chihuahua,Staten Island,10309
63441,F,Not Listed,Bronx,10456
63442,F,Not Listed,Staten Island,10312
63443,M,Bichon Frise,Queens,11419
63444,M,Not Listed,Manhattan,10029
63445,M,Goldendoodle,Manhattan,10028
63446,F,Jack Russell Terrier,Brooklyn,11221
63447,M,Havanese,Manhattan,10128
63448,M,Bichon Frise,Brooklyn,11228
63449,F,Bichon Frise,Staten Island,10312
63450,F,West Highland White Terrier,Manhattan,10023
63451,F,Chihuahua,Manhattan,10002
63452,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11231
63453,M,Papillon,Brooklyn,11231
63454,M,Yorkshire Terrier,Bronx,10462
63455,F,Not Listed,Manhattan,10040
63456,F,Labrador Retriever,Bronx,10469
63457,F,Jack Russell Terrier,Brooklyn,11211
63458,M,Maltese,Staten Island,10314
63459,M,Maltese,Brooklyn,11220
63460,F,Shetland Sheepdog,Bronx,10465
63461,F,Chihuahua,Staten Island,10308
63462,M,French Bulldog,Manhattan,10011
63463,M,American Pit Bull Terrier/Pit Bull,Queens,11106
63464,M,Puggle,Brooklyn,11204
63465,M,Papillon,Brooklyn,11209
63466,F,Cavalier King Charles Spaniel,Manhattan,10023
63467,F,Goldendoodle,Manhattan,10013
63468,M,French Bulldog,Queens,11096
63469,M,Labrador Retriever Crossbreed,Manhattan,10040
63470,M,English Bulldog,Manhattan,10023
63471,M,Pug,Manhattan,10022
63472,M,American Pit Bull Terrier/Pit Bull,Bronx,10465
63473,M,Labrador Retriever,Manhattan,10065
63474,F,American Pit Bull Mix / Pit Bull Mix,Bronx,10452
63475,F,Rat Terrier,Manhattan,10036
63476,M,French Bulldog,Brooklyn,11216
63477,M,Not Listed,Queens,11379
63478,M,Maltese,Queens,11355
63479,F,Not Listed,Manhattan,10128
63480,M,Yorkshire Terrier,Queens,11369
63481,M,Labrador Retriever,Manhattan,10075
63482,M,Doberman Pinscher,Brooklyn,11217
63483,F,Not Listed,Brooklyn,11232
63484,F,Australian Shepherd,Brooklyn,11201
63485,M,Labrador Retriever Crossbreed,Queens,11378
63486,M,Not Listed,Bronx,10456
63487,M,Shih Tzu Crossbreed,Manhattan,10029
63488,F,Dachshund Smooth Coat,Queens,11357
63489,F,Yorkshire Terrier Crossbreed,Queens,11413
63490,F,Beagle Crossbreed,Queens,11361
63491,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10040
63492,M,Pomeranian,Brooklyn,11206
63493,F,Pug,Manhattan,10128
63494,M,Siberian Husky,Brooklyn,11234
63495,F,Chihuahua,Manhattan,10028
63496,M,Miniature Schnauzer,Manhattan,10003
63497,M,Not Listed,Bronx,10471
63498,M,Giant Schnauzer,Staten Island,10308
63499,F,Labrador Retriever Crossbreed,Brooklyn,11238
63500,M,Not Listed,Manhattan,10002
63501,F,Rhodesian Ridgeback,Manhattan,10003
63502,F,Pomeranian,Queens,11355
63503,M,West Highland White Terrier,Manhattan,10036
63504,F,Miniature Poodle,Manhattan,10128
63505,M,Beagle Crossbreed,Manhattan,10013
63506,F,Shih Tzu,Queens,11379
63507,F,Havanese,Queens,11421
63508,M,Labrador Retriever,Brooklyn,11234
63509,M,Doberman Pinscher,Queens,11379
63510,F,Australian Cattle Dog,Manhattan,10027
63511,F,Portuguese Water Dog,Manhattan,10014
63512,M,Maltese Crossbreed,Staten Island,10303
63513,M,Chihuahua,Manhattan,10028
63514,M,Boston Terrier,Bronx,10472
63515,M,Not Listed,Queens,11418
63516,F,Labrador Retriever,Manhattan,10038
63517,F,Jack Russell Terrier,Brooklyn,11237
63518,F,Bouvier Des Flandres,Manhattan,10014
63519,F,Not Listed,Brooklyn,11215
63520,M,Chihuahua,Queens,11356
63521,M,Havanese,Brooklyn,11217
63522,M,Maltese Crossbreed,Brooklyn,11234
63523,M,Shih Tzu,Bronx,10460
63524,M,Not Listed,Manhattan,10075
63525,M,Long Haired Dachshund,Manhattan,10023
63526,F,Shih Tzu Crossbreed,Manhattan,10029
63527,M,Maltipoo,Bronx,10468
63528,M,Poodle Crossbreed,Manhattan,10003
63529,M,American Pit Bull Terrier/Pit Bull,Manhattan,10002
63530,M,Miniature Poodle,Brooklyn,11234
63531,M,Shih Tzu,Brooklyn,11228
63532,M,Pomeranian Crossbreed,Manhattan,10040
63533,M,Harrier,Manhattan,10011
63534,F,Greyhound,Staten Island,10306
63535,M,Beagle Crossbreed,Manhattan,10025
63536,F,American Pit Bull Mix / Pit Bull Mix,Staten Island,10304
63537,M,Italian Greyhound,Manhattan,10011
63538,F,Chihuahua,Staten Island,10308
63539,M,Labrador Retriever,Brooklyn,11223
63540,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11233
63541,M,Papillon,Queens,11374
63542,F,Shiba Inu,Brooklyn,11215
63543,M,Shih Tzu,Brooklyn,11217
63544,M,Maltese,Queens,11418
63545,M,American Pit Bull Mix / Pit Bull Mix,Queens,11355
63546,F,Cavalier King Charles Spaniel,Manhattan,10003
63547,F,Goldendoodle,Manhattan,10011
63548,F,Rottweiler Crossbreed,Bronx,10456
63549,F,Labrador Retriever,Manhattan,10038
63550,F,American Pit Bull Terrier/Pit Bull,Bronx,10463
63551,M,Pomeranian Crossbreed,Manhattan,10011
63552,M,Shih Tzu Crossbreed,Queens,11355
63553,M,Shih Tzu Crossbreed,Queens,11104
63554,M,Lhasa Apso,Queens,11368
63555,M,Lhasa Apso,Queens,11377
63556,M,Maltese,Queens,11355
63557,M,Not Listed,Queens,11105
63558,M,Yorkshire Terrier,Bronx,10459
63559,F,Beagle Crossbreed,Queens,11375
63560,M,Shiba Inu,Brooklyn,11215
63561,F,Not Listed,Brooklyn,11209
63562,F,Shih Tzu,Queens,11379
63563,M,Poodle,Brooklyn,11221
63564,M,Yorkshire Terrier,Manhattan,10022
63565,F,Not Listed,Staten Island,10314
63566,M,Maltese,Bronx,10473
63567,M,Not Listed,Manhattan,10023
63568,M,Labradoodle,Brooklyn,11249
63569,M,Chow Chow,Manhattan,10036
63570,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10033
63571,M,Maltese,Manhattan,10010
63572,F,Golden Retriever,Queens,11421
63573,M,West Highland White Terrier,Staten Island,10312
63574,M,Beagle,Manhattan,10069
63575,F,Poodle,Queens,11355
63576,M,American Pit Bull Mix / Pit Bull Mix,Staten Island,10314
63578,M,German Shepherd Crossbreed,Brooklyn,11234
63579,M,Lhasa Apso,Brooklyn,11215
63580,F,Maltese,Bronx,10462
63581,F,Yorkshire Terrier,Manhattan,10001
63582,M,Not Listed,Brooklyn,11237
63583,M,Pekingese,Staten Island,10314
63584,M,Shih Tzu,Bronx,10466
63585,F,Shih Tzu Crossbreed,Brooklyn,11206
63586,F,Not Listed,Brooklyn,11228
63587,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11225
63588,F,French Bulldog,Brooklyn,11214
63589,M,Pomeranian,Staten Island,10312
63590,M,Bedlington Terrier,Brooklyn,11215
63591,F,Boston Terrier,Bronx,10456
63592,F,Not Listed,Manhattan,10025
63593,M,Toy Poodle,Staten Island,10308
63594,F,Chihuahua,Staten Island,10303
63595,M,Maltese,Manhattan,10022
63596,F,Chihuahua,Manhattan,10038
63597,F,Yorkshire Terrier,Brooklyn,11236
63598,F,Poodle,Staten Island,10306
63599,M,Silky Terrier,Queens,11426
63600,M,Not Listed,Queens,11375
63601,F,Not Listed,Queens,11375
63602,F,Shiba Inu,Manhattan,10025
63603,F,French Bulldog,Brooklyn,11231
63604,F,Border Collie,Manhattan,10032
63605,M,Not Listed,Manhattan,10009
63606,M,Labrador Retriever,Queens,11385
63607,M,Golden Retriever,Manhattan,10028
63608,M,Boxer,Brooklyn,11236
63609,F,Rottweiler,Queens,11377
63610,M,Not Listed,Queens,11385
63611,F,Not Listed,Manhattan,10012
63612,M,Maltese Crossbreed,Manhattan,10024
63613,M,Yorkshire Terrier,Brooklyn,11206
63614,M,Terrier Crossbreed,Manhattan,10014
63615,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11201
63616,F,Not Listed,Brooklyn,11234
63617,M,Yorkshire Terrier,Bronx,10462
63618,M,Chihuahua,Staten Island,10306
63619,F,American Pit Bull Mix / Pit Bull Mix,Queens,11414
63620,M,Not Listed,Queens,11426
63621,F,Poodle,Bronx,10468
63622,M,Shih Tzu,Bronx,10462
63623,M,German Shepherd Dog,Brooklyn,11210
63624,M,Yorkshire Terrier,Queens,11691
63625,F,Australian Shepherd,Manhattan,10019
63626,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11204
63627,M,Maltese,Brooklyn,11238
63628,F,Not Listed,Manhattan,10003
63629,F,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11211
63630,F,Yorkshire Terrier,Queens,11377
63631,F,Not Listed,Staten Island,10310
63632,M,Not Listed,Brooklyn,11235
63633,F,Not Listed,Queens,11415
63634,F,Not Listed,Brooklyn,11215
63635,M,Not Listed,Manhattan,10002
63636,M,Shih Tzu,Manhattan,10016
63637,F,Not Listed,Queens,11375
63638,F,Havanese,Brooklyn,11225
63639,F,Shih Tzu,Brooklyn,11219
63640,M,Pomeranian,Manhattan,10019
63641,M,Bichon Frise,Brooklyn,11229
63642,F,Shiba Inu,Brooklyn,11214
63643,M,Jack Russell Terrier,Bronx,10462
63644,F,Chihuahua,Brooklyn,11228
63645,M,Labrador Retriever,Manhattan,10009
63646,M,Boston Terrier,Manhattan,10033
63647,M,Poodle,Staten Island,10304
63648,M,Not Listed,Queens,11357
63649,F,Yorkshire Terrier,Bronx,10457
63650,F,Not Listed,Brooklyn,11226
63651,M,Not Listed,Staten Island,10314
63652,M,Labrador Retriever,Staten Island,10314
63653,M,Boxer,Brooklyn,11233
63654,F,Scottish Terrier,Manhattan,10014
63655,F,Not Listed,Manhattan,10038
63656,F,Lhasa Apso,Brooklyn,11223
63657,M,German Shepherd Dog,Manhattan,10036
63658,M,Goldendoodle,Manhattan,10010
63659,M,Rottweiler,Queens,11370
63660,F,Shih Tzu,Manhattan,10032
63661,F,Yorkshire Terrier,Staten Island,10309
63662,M,Miniature Schnauzer,Brooklyn,11230
63663,F,Pug,Brooklyn,11239
63664,F,Not Listed,Brooklyn,11234
63665,F,Labrador Retriever Crossbreed,Manhattan,10013
63666,M,Not Listed,Brooklyn,11220
63667,M,Not Listed,Belle Harbor,11694
63668,F,Shih Tzu,Bronx,10466
63669,M,Dachshund Smooth Coat,Brooklyn,11229
63670,M,Australian Shepherd,Manhattan,10017
63671,F,Boston Terrier,Brooklyn,11206
63672,F,Not Listed,Manhattan,10003
63673,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11226
63674,F,Pomeranian Crossbreed,Queens,11372
63675,F,Labrador Retriever,Queens,11101
63676,M,Boxer,Brooklyn,11215
63677,F,Not Listed,Bronx,10468
63678,F,Labrador Retriever Crossbreed,Brooklyn,11218
63679,F,American Pit Bull Terrier/Pit Bull,Brooklyn,11226
63680,M,Maltese,Brooklyn,11236
63681,F,Shih Tzu,Manhattan,10009
63682,M,Maltese,Staten Island,10314
63683,F,Bernese Mountain Dog,Bronx,10463
63684,M,Yorkshire Terrier,Queens,11379
63685,F,Pekingese,Manhattan,10016
63686,M,Shih Tzu,Bronx,10455
63687,M,Shih Tzu Crossbreed,Brooklyn,11225
63688,M,Labradoodle,Brooklyn,11201
63689,M,Puggle,Brooklyn,11235
63690,M,Boxer,Manhattan,10022
63691,F,Chihuahua,Brooklyn,11220
63692,M,Not Listed,Bronx,10465
63693,F,Chihuahua,Queens,11375
63694,M,Siberian Husky,Queens,11377
63695,F,Papillon,Manhattan,10021
63696,F,Yorkshire Terrier,Manhattan,10027
63697,F,Maltese,Queens,11365
63698,M,Shetland Sheepdog,Manhattan,10128
63699,M,Yorkshire Terrier,Brooklyn,11222
63700,M,French Bulldog,Manhattan,10009
63701,M,Chihuahua Crossbreed,Queens,11691
63702,F,Not Listed,Manhattan,10033
63703,F,Labrador Retriever Crossbreed,Manhattan,10024
63704,F,Terrier Crossbreed,Manhattan,10011
63705,F,Toy Poodle,Queens,11694
63706,M,Havanese,Manhattan,10011
63707,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11215
63708,M,Shih Tzu,Bronx,10461
63709,M,Berger Picard,Manhattan,10010
63710,M,Not Listed,Manhattan,10001
63711,F,Shih Tzu,Bronx,10455
63712,F,Not Listed,Manhattan,10016
63713,M,Labrador Retriever Crossbreed,Queens,11372
63714,M,Not Listed,Manhattan,10010
63715,M,American Pit Bull Terrier/Pit Bull,Manhattan,10011
63716,M,Miniature Poodle,Manhattan,10022
63717,F,Shih Tzu,Staten Island,10309
63718,M,Havanese,Queens,11373
63719,M,Labrador Retriever Crossbreed,Brooklyn,11222
63720,F,Not Listed,Staten Island,10306
63721,F,Labrador Retriever,Manhattan,10128
63722,M,Not Listed,Brooklyn,11228
63723,M,Shetland Sheepdog,Manhattan,10065
63724,F,Maltese,Manhattan,10009
63725,F,Afghan Hound,Brooklyn,11228
63726,F,American Pit Bull Terrier/Pit Bull,Bronx,10462
63727,F,Shih Tzu,Queens,11379
63728,F,Maltese,Queens,11372
63729,F,Not Listed,Brooklyn,11226
63730,F,German Shepherd Dog,Bronx,10461
63731,F,Not Listed,Manhattan,10011
63732,M,Golden Retriever,Queens,11377
63733,M,Not Listed,Manhattan,10128
63734,F,Not Listed,Queens,11421
63735,M,Airedale Terrier,Manhattan,10021
63736,M,Beagle,Brooklyn,11217
63737,M,Pomeranian,Manhattan,10018
63738,M,Not Listed,Bronx,10462
63739,F,Chinese Shar-Pei,Manhattan,10024
63740,M,American Pit Bull Terrier/Pit Bull,Queens,11372
63741,M,Boxer,Brooklyn,11224
63742,M,Not Listed,Brooklyn,11217
63743,M,Boston Terrier,Brooklyn,11209
63744,F,Chihuahua,Manhattan,10024
63745,M,Golden Retriever,Queens,11355
63746,F,Siberian Husky,Manhattan,10010
63747,F,Not Listed,Manhattan,10023
63748,M,Boxer,Queens,11414
63749,M,Labrador Retriever Crossbreed,Staten Island,10301
63750,F,Yorkshire Terrier,Queens,11385
63751,M,Samoyed,Queens,11109
63752,F,Maltese,Queens,11413
63753,M,Not Listed,Queens,11426
63754,M,Shih Tzu,Staten Island,10301
63755,F,Cavalier King Charles Spaniel,Manhattan,10030
63756,M,Poodle Crossbreed,Bronx,10456
63757,M,Pug,Manhattan,10069
63758,F,Labrador Retriever Crossbreed,Staten Island,10312
63759,M,Miniature Schnauzer,Manhattan,10025
63760,M,Border Collie,Queens,11435
63761,F,Labrador Retriever,Bronx,10471
63762,F,Havanese,Manhattan,10024
63763,M,Bichon Frise,Staten Island,10314
63764,F,Yorkshire Terrier,Manhattan,10011
63765,M,Not Listed,Manhattan,10010
63766,F,Miniature Pinscher,Manhattan,10025
63767,F,Bulldog,Queens,11357
63768,M,Beagle,Queens,11372
63769,M,Staffordshire Bull Terrier,Bronx,10467
63770,F,Not Listed,Queens,11379
63771,M,Shih Tzu,Manhattan,10025
63772,F,Pekingese,Brooklyn,11219
63773,M,Poodle,Manhattan,10128
63774,F,Not Listed,Staten Island,10306
63775,M,Bull Terrier,Brooklyn,11215
63776,F,Havanese,Staten Island,10307
63777,M,Pomeranian,Manhattan,10010
63778,F,Chihuahua,Brooklyn,11231
63779,F,Beagle Crossbreed,Queens,11101
63780,M,Golden Retriever,Manhattan,10028
63781,F,Not Listed,Brooklyn,11215
63782,M,Shih Tzu,Manhattan,10021
63783,F,Pomeranian,Manhattan,10011
63784,F,Yorkshire Terrier,Queens,11429
63785,F,Maltese,Manhattan,10016
63786,M,Dachshund Smooth Coat,Manhattan,10016
63787,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11225
63788,F,Shih Tzu,Manhattan,10009
63789,F,Cavalier King Charles Spaniel,Manhattan,10039
63790,M,Not Listed,Bronx,10473
63791,M,Not Listed,Queens,11421
63792,M,Shih Tzu,Manhattan,10022
63793,M,Yorkshire Terrier,Brooklyn,11211
63794,M,Not Listed,Brooklyn,11222
63795,M,Miniature Poodle,Brooklyn,11207
63796,F,Toy Poodle,Manhattan,10128
63797,F,Havanese,Queens,11360
63798,M,Not Listed,Queens,11355
63799,F,Jindo,Manhattan,10025
63800,M,Pekingese,Brooklyn,11216
63801,M,Not Listed,Brooklyn,11231
63802,M,Miniature Pinscher,Staten Island,10312
63803,M,Brussels Griffon,Manhattan,10025
63804,F,Shih Tzu,Queens,11357
63805,M,Not Listed,Queens,11367
63806,F,Not Listed,Queens,11416
63807,F,Maltese,Bronx,10472
63808,M,Miniature Poodle,Manhattan,10011
63809,F,Labrador Retriever Crossbreed,Manhattan,10009
63810,F,Scottish Terrier,Manhattan,10014
63811,M,Rat Terrier,Queens,11104
63812,M,Australian Cattle Dog,Manhattan,10010
63813,M,Chihuahua,Brooklyn,11215
63814,M,American Pit Bull Terrier/Pit Bull,Brooklyn,11228
63815,M,German Shorthaired Pointer,Staten Island,10312
63816,F,Maltese,Brooklyn,11212
63817,M,Chihuahua,Brooklyn,11204
63818,M,Not Listed,Brooklyn,11233
63819,F,Not Listed,Queens,11378
63820,M,Not Listed,Brooklyn,11214
63821,M,Beagle,Bronx,10462
63822,M,Not Listed,Bronx,10454
63823,F,Scottish Terrier,Brooklyn,11217
63824,F,Maltese,Queens,11375
63825,F,Beagle Crossbreed,Manhattan,10011
63827,F,Goldendoodle,Manhattan,10128
63828,F,Jack Russell Terrier,Manhattan,10036
63829,M,Beagle,Brooklyn,11201
63830,F,Yorkshire Terrier,Brooklyn,11239
63831,M,Shiba Inu,Brooklyn,11230
63832,F,Bichon Frise,Manhattan,10016
63833,F,Rottweiler,Brooklyn,11217
63834,M,Boston Terrier,Brooklyn,11201
63835,F,Cavalier King Charles Spaniel,Queens,11103
63836,M,Cavalier King Charles Spaniel,Queens,11365
63837,F,Anatolian Shepherd Dog,Manhattan,10003
63838,F,Miniature Pinscher,Manhattan,10044
63839,F,Shih Tzu,Brooklyn,11203
63840,F,Italian Greyhound,Manhattan,10065
63841,M,Yorkshire Terrier,Queens,11367
63842,F,Bichon Frise,Bronx,10461
63843,F,Maltese,Brooklyn,11225
63844,F,Not Listed,Manhattan,10011
63845,F,Jack Russell Terrier,Queens,11373
63846,F,English Bulldog,Brooklyn,11216
63847,M,Not Listed,Manhattan,10040
63848,F,Shih Tzu,Queens,11363
63849,M,Maltese,Manhattan,10027
63850,F,Poodle,Brooklyn,11235
63851,F,Great Dane,Manhattan,10028
63852,M,Miniature Pinscher,Manhattan,10029
63853,F,Siberian Husky,Brooklyn,11221
63854,F,Cavalier King Charles Spaniel,Brooklyn,11249
63855,M,Chihuahua,Queens,11357
63856,M,Yorkshire Terrier Crossbreed,Bronx,10470
63857,M,Dalmatian,Brooklyn,11229
63858,M,Plott,Manhattan,10002
63859,M,Dalmatian,Staten Island,10306
63860,M,Toy Poodle,Manhattan,10010
63861,M,Havanese,Manhattan,10025
63862,F,Maltese,Queens,11694
63863,M,Italian Greyhound,Manhattan,10027
63864,M,French Bulldog,Manhattan,10010
63865,M,American Pit Bull Terrier/Pit Bull,Staten Island,10312
63866,M,Miniature Schnauzer,Queens,11355
63867,M,Chihuahua,Bronx,10462
63868,M,Yorkshire Terrier,Brooklyn,11222
63869,M,Yorkshire Terrier,Manhattan,10034
63870,M,Puggle,Queens,11360
63871,F,French Bulldog,Brooklyn,11215
63872,M,Not Listed,Queens,11434
63873,M,Not Listed,Brooklyn,11237
63874,F,Shih Tzu,Queens,11368
63875,F,German Shepherd Dog,Queens,11413
63876,M,Yorkshire Terrier,Bronx,10453
63877,M,Chihuahua,Queens,11691
63878,F,Chihuahua,Manhattan,10003
63879,M,Shih Tzu,Bronx,10469
63880,M,Not Listed,Manhattan,10022
63881,M,Shiba Inu,Brooklyn,11235
63882,F,Shih Tzu,Queens,11372
63883,F,French Bulldog,Queens,11385
63884,F,Siberian Husky,Staten Island,10312
63885,M,Shih Tzu Crossbreed,Queens,11374
63886,F,Not Listed,Bronx,10454
63887,M,Toy Poodle,Queens,11433
63888,F,Not Listed,Manhattan,10023
63889,F,Not Listed,Brooklyn,11230
63890,F,Yorkshire Terrier,Queens,11368
63891,M,Wheaton Terrier,Queens,11375
63892,M,Maltese,Manhattan,10028
63893,M,Not Listed,Manhattan,10002
63894,F,Not Listed,Queens,11356
63895,M,Pomeranian,Staten Island,10312
63896,M,Not Listed,Staten Island,10308
63897,F,Not Listed,Bronx,10475
63898,M,Pomeranian,Manhattan,10033
63899,M,Yorkshire Terrier,Manhattan,10039
63900,F,Chihuahua,Staten Island,10312
63901,M,Silky Terrier,Brooklyn,11231
63902,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11214
63903,M,Yorkshire Terrier,Queens,11694
63904,F,Not Listed,Queens,11357
63905,M,American Pit Bull Mix / Pit Bull Mix,Staten Island,10306
63906,M,Miniature Schnauzer,Brooklyn,11234
63907,F,Toy Poodle,Manhattan,10038
63908,M,Jack Russell Terrier,Staten Island,10303
63909,F,Not Listed,Queens,11004
63910,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10024
63911,M,Pekingese,Manhattan,10011
63912,M,American Bulldog,Bronx,10457
63913,M,German Shepherd Crossbreed,Queens,11004
63914,F,Pug,Manhattan,10034
63915,F,Not Listed,Queens,11375
63916,F,Not Listed,Bronx,10468
63917,M,West Highland White Terrier,Staten Island,10307
63918,F,Shih Tzu,Queens,11697
63919,F,Yorkshire Terrier,Staten Island,10302
63920,M,Chihuahua,Bronx,10461
63921,F,Chihuahua,Staten Island,10312
63922,M,Toy Poodle,Brooklyn,11211
63923,M,Border Collie,Staten Island,10312
63924,F,Australian Kelpie,Manhattan,10009
63925,M,Poodle,Queens,11365
63926,F,Australian Cattle Dog,Brooklyn,11221
63927,M,Shih Tzu,Queens,11421
63928,F,Chow Chow,Staten Island,10307
63929,M,Terrier Crossbreed,Bronx,10456
63930,M,French Bulldog,Bronx,10472
63931,M,Pug,Bronx,10473
63932,M,Cocker Spaniel,Queens,11363
63933,M,Cocker Spaniel,Manhattan,10024
63934,F,Italian Greyhound,Manhattan,10016
63935,M,Not Listed,Queens,11379
