rownumber,animalgender,breedname,borough,zipcode
105322,F,American Eskimo dog,Staten Island,10305
105323,F,Poodle Crossbreed,Staten Island,10314
105324,M,Not Listed,Staten Island,10301
105325,M,Dachshund,Queens,11102
105326,F,Portuguese Podengo Pequeno,Manhattan,10021
105327,M,Labradoodle,Manhattan,10012
105328,M,Bull Terrier,Bronx,10453
105329,M,Jack Russell Terrier,Bronx,10473
105330,F,Terrier Crossbreed,Bronx,10469
105331,M,Chihuahua,Bronx,10455
105332,M,Not Listed,Manhattan,10025
105333,F,English Bulldog,Manhattan,10023
105334,M,Chihuahua,Manhattan,10025
105335,F,Chihuahua,Brooklyn,11221
105336,F,Bichon Frise,Manhattan,10003
105337,F,Beagle,Manhattan,10003
105338,F,Yorkshire Terrier,Brooklyn,11217
105339,F,American Staffordshire Terrier ,Bronx,10461
105340,M,Cane Corso,Queens,11416
105341,F,Chihuahua,Brooklyn,11224
105342,M,Miniature Poodle,Queens,11373
105344,M,Yorkshire Terrier,Manhattan,10002
105345,F,Rottweiler,Staten Island,10304
105346,M,American Pit Bull Mix / Pit Bull Mix,Brooklyn,11208
105347,F,Long Haired Miniature Dachshund,Queens,11362
105348,M,Labrador Retriever,Brooklyn,11214
105349,M,Cocker Spaniel,Queens,11106
105350,F,Shih Tzu,Queens,11375
105351,F,Giant Schnauzer,Queens,11372
105352,F,Not Listed,Queens,11378
105353,F,Border Terrier,Brooklyn,11233
105354,M,Dachshund Crossbreed,Manhattan,10023
105355,M,Labradoodle,Bronx,10471
105356,F,Not Listed,Manhattan,10033
105357,M,Shih Tzu,Manhattan,10009
105358,M,Golden Retriever,Queens,11364
105359,M,Italian Greyhound,Manhattan,10002
105360,F,American Pit Bull Mix / Pit Bull Mix,Staten Island,10314
105361,M,Rottweiler,Bronx,10469
105362,M,Bulldog,Staten Island,10306
105363,M,Chihuahua,Manhattan,10128
105364,F,Shih Tzu,Brooklyn,11249
105365,M,Not Listed,Queens,11417
105366,M,American Pit Bull Terrier/Pit Bull,Bronx,10460
105367,M,Golden Retriever,Manhattan,10023
105368,F,Australian Shepherd,Queens,11697
105369,M,American Staffordshire Terrier ,Queens,11103
105370,F,Labradoodle,Brooklyn,11201
105371,F,Pug,Brooklyn,11215
105372,M,Miniature American Shepherd,Manhattan,10025
105373,F,Labrador Retriever,Manhattan,10028
105374,F,Border Collie Crossbreed,Queens,11362
105375,M,Not Listed,Brooklyn,11216
105376,F,Labrador Retriever,Queens,11104
105377,F,Not Listed,Manhattan,10075
105378,F,French Bulldog,Queens,11106
105379,M,Labradoodle,Manhattan,10075
105380,M,Pomeranian,Queens,11418
105381,M,American Pit Bull Terrier/Pit Bull,Staten Island,11731
105382,M,Shih Tzu,Bronx,10468
105383,F,Poodle,Bronx,10473
105384,M,Terrier Crossbreed,Queens,11105
105385,F,Labrador Retriever,Manhattan,10003
105386,F,Border Collie,Bronx,10463
105387,F,Dachshund Smooth Coat,Bronx,10462
105388,M,Labrador Retriever,Bronx,10472
105389,M,Dachshund Smooth Coat,Brooklyn,11207
105390,M,American Staffordshire Terrier ,Staten Island,10308
105391,M,Not Listed,Manhattan,10037
105392,M,Not Listed,Staten Island,10306
105393,M,Maltese,Brooklyn,11224
105394,M,Toy Poodle,Bronx,10460
105395,M,Alaskan Malamute,Brooklyn,11215
105396,F,Not Listed,Brooklyn,11221
105397,M,Poodle,Queens,11429
105398,M,Miniature Poodle,Brooklyn,11204
105399,M,Yorkshire Terrier,Bronx,10474
105400,F,Not Listed,Manhattan,10025
105401,F,Maltese,Queens,11385
105402,M,Yorkshire Terrier,Manhattan,10002
105403,F,American Staffordshire Terrier ,Brooklyn,11211
105404,F,Dachshund Crossbreed,Bronx,10463
105405,F,Maltese,Queens,11418
105406,F,Shih Tzu,Brooklyn,11208
105407,F,Not Listed,Queens,11361
105408,M,Coton de Tulear,Brooklyn,11218
105409,M,Chihuahua,Brooklyn,11231
105410,M,Beagle,Manhattan,10011
105411,F,Shih Tzu,Queens,11426
105412,F,Shih Tzu Crossbreed,Staten Island,10306
105413,M,Poodle,Queens,11694
105414,F,Cocker Spaniel,Brooklyn,11206
105415,M,Chihuahua,Brooklyn,11220
105416,M,English Bulldog,Manhattan,10022
105417,F,Golden Retriever,Brooklyn,11228
105418,M,Shih Tzu,Manhattan,10002
105419,M,Bichon Frise,Manhattan,10128
105420,M,Maltese,Staten Island,10306
105421,M,Jack Russell Terrier,Manhattan,10025
105422,M,Not Listed,Brooklyn,11238
105423,M,Cocker Spaniel,Queens,11106
105424,M,Boston Terrier,Manhattan,10025
105425,M,Standard Schnauzer,Brooklyn,11220
105426,F,Beagle Crossbreed,Manhattan,10023
105427,F,Yorkshire Terrier,Manhattan,10037
105428,F,Maltese,Queens,11385
105429,F,Petit Basset Griffon Vendeen,Manhattan,10128
105430,M,Maltese,Queens,11419
105431,M,Dachshund,Bronx,10456
105432,M,Siberian Husky,Queens,11420
105433,M,Not Listed,Bronx,10461
105434,M,Labrador Retriever Crossbreed,Brooklyn,11216
105435,M,German Shepherd Dog,Staten Island,10302
105436,M,Shih Tzu,Brooklyn,11223
105437,M,Not Listed,Manhattan,10012
105438,M,German Shepherd Dog,Brooklyn,11215
105439,F,Labrador Retriever Crossbreed,Manhattan,10024
105440,M,Labrador Retriever Crossbreed,Queens,11363
105441,F,Terrier Crossbreed,Staten Island,10305
105442,F,Labrador Retriever,Manhattan,10009
105443,F,American Pit Bull Terrier/Pit Bull,Queens,11421
105444,F,Miniature Schnauzer,Brooklyn,11235
105445,M,Yorkshire Terrier,Brooklyn,11207
105446,F,Shih Tzu,Manhattan,10065
105447,M,Chihuahua,Brooklyn,11220
105448,F,Vizsla,Staten Island,10305
