BreedName,HeightMin,HeightMax,WeightMin,WeightMax,LifeMin,LifeMax,AvgHeight,AvgWeight,AvgLife
Miniature Bull Terrier,10,14,18,28,11,13,12,23,12
Miniature Crossbreed Schnauzer,,,,,,,,,
Miniature Fox Terrier,,,,,,,,,
Miniature Pinscher,10,12.5,8,10,12,16,11.25,9,14
Miniature Poodle,10,15,10,15,10,18,12.5,12.5,14
Miniature Schnauzer,12,14,11,20,12,15,13,15.5,13.5
Morkie,,,,,,,,,
Mudi,15,18.5,18,29,12,14,16.75,23.5,13
Neapolitan Mastiff,24,31,110,150,7,9,27.5,130,8
Newfoundland,26,28,100,150,9,10,27,125,9.5
Norfolk Terrier,9,10,11,12,12,16,9.5,11.5,14
Norwegian Buhund,16,18.5,26,40,12,15,17.25,33,13.5
Norwegian Elkhound,19.5,20.5,48,55,12,15,20,51.5,13.5
Norwich Terrier,10,10,12,12,12,15,10,12,13.5
Nova Scotia Duck Tolling Retriever,17,21,35,50,12,14,19,42.5,13
Old English Mastiff,,,,,,,,,
Old English Sheepdog,21,22,60,60,10,12,21.5,60,11
Otterhound,24,27,80,115,10,13,25.5,97.5,11.5
Papillon,8,11,5,10,14,16,9.5,7.5,15
Parson Russell Terrier,13,14,13,17,13,15,13.5,15,14
Pekingese,6,9,14,14,12,14,7.5,14,13
Pembroke Welsh Corgi,10,12,28,30,12,13,11,29,12.5
Pembroke Welsh Corgi Crossbreed,,,,,,,,,
Perro de Presa Canario,22,26,84,110,9,11,24,97,10
Petit Basset Griffon Vendeen,13,15,25,40,12,14,14,32.5,13
Pharaoh Hound,21,25,45,55,12,14,23,50,13
Plott,20,25,40,60,12,14,22.5,50,13
Pointer,23,28,45,75,12,17,25.5,60,14.5
Polish Hound,,,,,,,,,
Polish Lowland Sheepdog,17,20,30,50,12,14,18.5,40,13
Pomeranian,6,7,3,7,12,16,6.5,5,14
Pomeranian Crossbreed,,,,,,,,,
Poodle,15,15,40,70,10,18,15,55,14
Poodle Crossbreed,,,,,,,,,
Portuguese Podengo Pequeno,8,12,9,13,12,15,10,11,13.5
Portuguese Water Dog,17,23,35,60,11,13,20,47.5,12
Pug,10,13,14,18,13,15,11.5,16,14
Pug Crossbreed,,,,,,,,,
Puggle,,,,,,,,,
Puli,16,17,25,35,10,15,16.5,30,12.5
Pumi,15,18.5,22,29,12,13,16.75,25.5,12.5
Pyrenean Shepherd,15,21,15,30,15,19,18,22.5,17
Rat Terrier,13,18,10,25,12,18,15.5,17.5,15
Rat Terrier Crossbreed,,,,,,,,,
Redbone Coonhound,21,27,45,70,12,15,24,57.5,13.5
Rhodesian Ridgeback,24,27,70,85,10,10,25.5,77.5,10
Rottweiler,22,27,80,135,9,10,24.5,107.5,9.5
Rottweiler Crossbreed,,,,,,,,,
Rough Coat Collie,,,,,,,,,
Russell Terrier,10,12,9,15,12,14,11,12,13
Russian Toy,8,11,6.5,6.5,12,14,9.5,6.5,13
Saluki,23,28,40,65,10,17,25.5,52.5,13.5
Samoyed,19,23.5,35,65,12,14,21.25,50,13
Schipperke,10,13,10,16,12,14,11.5,13,13
Schnauzer Crossbreed,,,,,,,,,
Scottish Deerhound,28,32,75,110,8,11,30,92.5,9.5
Scottish Terrier,10,10,18,22,12,12,10,20,12
Sealyham Terrier,10.5,10.5,23,24,12,14,10.5,23.5,13
Shetland Sheepdog,13,16,15,25,12,14,14.5,20,13
Shiba Inu,13.5,16.5,17,23,13,16,15,20,14.5
Shiba Inu Crossbreed,,,,,,,,,
Shih Tzu,9,10.5,9,16,10,18,9.75,12.5,14
Shih Tzu Crossbreed,,,,,,,,,
Siberian Husky,20,23.5,35,60,12,14,21.75,47.5,13
Siberian Husky Crossbreed,,,,,,,,,
Silky Terrier,9,10,10,10,13,15,9.5,10,14
Skye Terrier,9.5,10,35,45,12,14,9.75,40,13
Smooth Coat Collie,,,,,,,,,
Smooth Fox Terrier,15.5,15.5,15,18,12,15,15.5,16.5,13.5
Soft Coated Wheaten Terrier,17,19,30,40,12,14,18,35,13
Spanish Water Dog,15.75,19.75,31,49,12,14,17.75,40,13
Spinone Italiano,22,27,,,10,12,24.5,,11
St. Bernard,26,30,120,180,8,10,28,150,9
Staffordshire Bull Terrier,14,16,24,38,12,14,15,31,13
Standard Schnauzer,17.5,19.5,30,50,13,16,18.5,40,14.5
Sussex Spaniel,13,15,35,45,13,15,14,40,14
Swedish Vallhund,11.5,13.75,20,35,12,15,12.625,27.5,13.5
Terrier Crossbreed,,,,,,,,,
Thai Ridgeback,20,24,35,75,12,13,22,55,12.5
Tibetan Mastiff,24,26,70,150,10,12,25,110,11
Tibetan Spaniel,10,10,9,15,12,15,10,12,13.5
Tibetan Terrier,14,17,18,30,15,16,15.5,24,15.5
Toy Fox Terrier,8.5,11.5,3.5,7,13,15,10,5.25,14
Toy Poodle,10,10,4,6,10,18,10,5,14
Treeing Tennessee Brindle,16,24,30,50,10,12,20,40,11
Treeing Walker Coonhound,20,27,50,70,12,13,23.5,60,12.5
Not Listed,,,,,,,,,
Vizsla,21,24,44,60,12,14,22.5,52,13
Weimaraner,23,27,55,90,10,13,25,72.5,11.5
Welsh Springer Spaniel,17,19,35,55,12,15,18,45,13.5
Welsh Terrier,15,15,20,20,12,15,15,20,13.5
West Highland White Terrier,10,11,15,20,13,15,10.5,17.5,14
Wheaton Terrier,17,19,30,40,12,14,18,35,13
Whippet,18,22,25,40,12,15,20,32.5,13.5
Wire Fox Terrier,15.5,15.5,15,18,12,15,15.5,16.5,13.5
Wirehaired Dachshund,,,,,,,,,
Wirehaired Miniature Dachshund,,,,,,,,,
Wirehaired Pointing Griffon,20,24,35,70,12,15,22,52.5,13.5
Xoloitzcuintli,18,23,30,55,13,18,20.5,42.5,15.5
Yorkshire Terrier,7,8,7,7,11,15,7.5,7,13
Yorkshire Terrier Crossbreed,,,,,,,,,
